city,type,SMAPE,MSE,MAE
CALI,NeuralODE_distilled,17.331469954653667,11318.625,46.90082931518555
CALI,NeuralODE_normal,37.00440994807253,11395.1171875,48.56278991699219
CALI,LSTM_distilled,69.48492391481945,362384.84375,284.8051452636719
CALI,LSTM_normal,71.08405154952055,363235.0625,285.6796569824219
CALI,Times-MoE,14.777086782358795,13713.62445192801,49.64487395467412
BOGOTA,NeuralODE_distilled,11.068527271403225,102694.484375,135.1922149658203
BOGOTA,NeuralODE_normal,18.188885765121352,102789.296875,136.31341552734375
BOGOTA,LSTM_distilled,83.50910509080353,3463607.75,992.7352905273438
BOGOTA,LSTM_normal,84.97521923432605,3466157.5,993.8538818359375
BOGOTA,Times-MoE,11.062582964979246,109405.87194480031,140.16803710413114
MEDELLIN,NeuralODE_distilled,18.949420790396797,35919.140625,80.90946960449219
MEDELLIN,NeuralODE_normal,37.64100632915589,35996.58984375,82.23836517333984
MEDELLIN,LSTM_distilled,70.44067955059609,535072.1875,387.13983154296875
MEDELLIN,LSTM_normal,72.19092397556761,536194.25,388.033203125
MEDELLIN,Times-MoE,15.884152215681855,35171.082994951495,82.47279606262843
SANTANDER,NeuralODE_distilled,24.871090240370673,10838.0029296875,41.773216247558594
SANTANDER,NeuralODE_normal,47.18777585589682,10903.18359375,43.01621627807617
SANTANDER,LSTM_distilled,66.79596420556312,199149.625,207.72879028320312
SANTANDER,LSTM_normal,69.75356576649075,199779.28125,208.57298278808594
SANTANDER,Times-MoE,21.133869414221675,10501.901946078153,42.11971639046854
ANTIOQUIA,NeuralODE_distilled,16.70836784118033,112951.0625,142.0634307861328
ANTIOQUIA,NeuralODE_normal,32.60618861927428,113033.9921875,143.41351318359375
ANTIOQUIA,LSTM_distilled,73.6838705001172,1595543.0,674.5014038085938
ANTIOQUIA,LSTM_normal,75.61421169237335,1597376.125,675.5
ANTIOQUIA,Times-MoE,14.735915072335848,103300.90710119833,142.18197605013847
VALLE,NeuralODE_distilled,15.39984788223644,17976.0625,58.65616226196289
VALLE,NeuralODE_normal,33.12002090500714,18056.16015625,60.21051025390625
VALLE,LSTM_distilled,71.73644270622229,685196.5,402.7594909667969
VALLE,LSTM_normal,73.07020036719734,686344.5,403.64617919921875
VALLE,Times-MoE,13.449425974719384,22427.517215475902,61.24193189482064
BOYACA,NeuralODE_distilled,32.48860500198615,3062.83447265625,22.8443660736084
BOYACA,NeuralODE_normal,58.354152401917815,3115.45263671875,23.91619110107422
BOYACA,LSTM_distilled,59.942985683826954,37043.75390625,89.35646057128906
BOYACA,LSTM_normal,63.534497924984024,37321.4765625,89.96881103515625
BOYACA,Times-MoE,26.29177254663627,2904.978293785173,22.9403461583521
CUNDINAMARCA,NeuralODE_distilled,25.056932526199056,11525.607421875,44.540035247802734
CUNDINAMARCA,NeuralODE_normal,47.317170686530034,11589.970703125,45.721893310546875
CUNDINAMARCA,LSTM_distilled,65.46932134641817,243345.625,230.8184051513672
CUNDINAMARCA,LSTM_normal,68.68168700601426,244027.875,231.66159057617188
CUNDINAMARCA,Times-MoE,20.45753334393093,11755.766481941786,45.82882920784234
