Fecha,Frecuencia
2020-02-27,1
2020-02-28,2
2020-02-29,2
2020-03-01,4
2020-03-02,4
2020-03-03,2
2020-03-04,3
2020-03-05,7
2020-03-06,15
2020-03-07,13
2020-03-08,11
2020-03-09,23
2020-03-10,37
2020-03-11,33
2020-03-12,49
2020-03-13,66
2020-03-14,97
2020-03-15,133
2020-03-16,138
2020-03-17,123
2020-03-18,139
2020-03-19,160
2020-03-20,196
2020-03-21,160
2020-03-22,147
2020-03-23,148
2020-03-24,138
2020-03-25,161
2020-03-26,152
2020-03-27,147
2020-03-28,149
2020-03-29,112
2020-03-30,136
2020-03-31,96
2020-04-01,194
2020-04-02,140
2020-04-03,131
2020-04-04,169
2020-04-05,138
2020-04-06,179
2020-04-07,135
2020-04-08,152
2020-04-09,142
2020-04-10,215
2020-04-11,166
2020-04-12,199
2020-04-13,209
2020-04-14,193
2020-04-15,208
2020-04-16,236
2020-04-17,184
2020-04-18,261
2020-04-19,229
2020-04-20,359
2020-04-21,235
2020-04-22,233
2020-04-23,293
2020-04-24,290
2020-04-25,329
2020-04-26,360
2020-04-27,362
2020-04-28,418
2020-04-29,360
2020-04-30,470
2020-05-01,691
2020-05-02,571
2020-05-03,519
2020-05-04,659
2020-05-05,770
2020-05-06,778
2020-05-07,670
2020-05-08,718
2020-05-09,733
2020-05-10,1038
2020-05-11,798
2020-05-12,896
2020-05-13,964
2020-05-14,938
2020-05-15,1108
2020-05-16,1069
2020-05-17,1139
2020-05-18,1298
2020-05-19,1252
2020-05-20,1572
2020-05-21,1297
2020-05-22,1417
2020-05-23,1211
2020-05-24,1200
2020-05-25,1476
2020-05-26,1368
2020-05-27,1424
2020-05-28,1567
2020-05-29,1553
2020-05-30,1552
2020-05-31,1317
2020-06-01,2533
2020-06-02,1812
2020-06-03,1977
2020-06-04,1799
2020-06-05,2400
2020-06-06,2263
2020-06-07,1805
2020-06-08,2672
2020-06-09,2515
2020-06-10,3239
2020-06-11,2576
2020-06-12,3004
2020-06-13,2632
2020-06-14,2424
2020-06-15,3066
2020-06-16,3778
2020-06-17,3717
2020-06-18,3978
2020-06-19,4113
2020-06-20,4763
2020-06-21,3211
2020-06-22,3665
2020-06-23,4816
2020-06-24,4350
2020-06-25,5130
2020-06-26,5360
2020-06-27,4809
2020-06-28,4567
2020-06-29,4442
2020-06-30,6251
2020-07-01,8031
2020-07-02,6173
2020-07-03,6538
2020-07-04,6319
2020-07-05,6059
2020-07-06,7499
2020-07-07,7016
2020-07-08,7375
2020-07-09,7688
2020-07-10,9423
2020-07-11,7026
2020-07-12,6837
2020-07-13,8885
2020-07-14,8627
2020-07-15,8623
2020-07-16,9013
2020-07-17,8511
2020-07-18,7647
2020-07-19,6931
2020-07-20,8455
2020-07-21,8569
2020-07-22,9287
2020-07-23,9835
2020-07-24,12976
2020-07-25,10622
2020-07-26,8073
2020-07-27,11678
2020-07-28,9826
2020-07-29,9831
2020-07-30,8329
2020-07-31,9352
2020-08-01,10715
2020-08-02,7992
2020-08-03,9797
2020-08-04,9145
2020-08-05,9128
2020-08-06,9475
2020-08-07,7377
2020-08-08,8422
2020-08-09,7438
2020-08-10,10823
2020-08-11,8150
2020-08-12,8427
2020-08-13,7656
2020-08-14,7969
2020-08-15,7395
2020-08-16,6810
2020-08-17,7199
2020-08-18,8547
2020-08-19,8795
2020-08-20,10133
2020-08-21,8225
2020-08-22,6312
2020-08-23,5666
2020-08-24,7014
2020-08-25,7137
2020-08-26,7421
2020-08-27,7178
2020-08-28,6726
2020-08-29,5847
2020-08-30,5602
2020-08-31,7693
2020-09-01,7908
2020-09-02,6223
2020-09-03,6185
2020-09-04,6245
2020-09-05,5948
2020-09-06,5460
2020-09-07,7344
2020-09-08,6900
2020-09-09,6779
2020-09-10,6966
2020-09-11,5984
2020-09-12,5294
2020-09-13,4563
2020-09-14,6673
2020-09-15,6237
2020-09-16,5693
2020-09-17,6079
2020-09-18,6230
2020-09-19,5332
2020-09-20,5716
2020-09-21,6004
2020-09-22,6403
2020-09-23,6972
2020-09-24,7101
2020-09-25,7427
2020-09-26,5130
2020-09-27,5102
2020-09-28,8601
2020-09-29,8014
2020-09-30,8240
2020-10-01,9330
2020-10-02,7039
2020-10-03,6467
2020-10-04,5368
2020-10-05,7958
2020-10-06,6915
2020-10-07,6303
2020-10-08,7148
2020-10-09,6949
2020-10-10,7258
2020-10-11,6498
2020-10-12,6996
2020-10-13,8970
2020-10-14,7736
2020-10-15,10821
2020-10-16,9776
2020-10-17,7876
2020-10-18,7305
2020-10-19,10022
2020-10-20,10423
2020-10-21,9501
2020-10-22,9711
2020-10-23,7991
2020-10-24,7171
2020-10-25,6801
2020-10-26,9135
2020-10-27,8306
2020-10-28,8287
2020-10-29,7752
2020-10-30,6937
2020-10-31,6152
2020-11-01,6275
2020-11-02,6231
2020-11-03,6951
2020-11-04,7474
2020-11-05,8649
2020-11-06,7872
2020-11-07,5821
2020-11-08,5589
2020-11-09,7623
2020-11-10,7844
2020-11-11,7181
2020-11-12,7221
2020-11-13,7620
2020-11-14,6251
2020-11-15,5624
2020-11-16,6563
2020-11-17,7496
2020-11-18,7387
2020-11-19,7850
2020-11-20,8622
2020-11-21,6524
2020-11-22,5975
2020-11-23,8183
2020-11-24,7887
2020-11-25,8114
2020-11-26,8535
2020-11-27,7698
2020-11-28,7985
2020-11-29,6926
2020-11-30,9677
2020-12-01,9725
2020-12-02,8980
2020-12-03,8990
2020-12-04,9136
2020-12-05,8668
2020-12-06,8708
2020-12-07,12040
2020-12-08,9911
2020-12-09,11707
2020-12-10,12918
2020-12-11,10626
2020-12-12,10609
2020-12-13,9545
2020-12-14,13259
2020-12-15,12911
2020-12-16,13539
2020-12-17,10826
2020-12-18,11545
2020-12-19,11384
2020-12-20,11766
2020-12-21,13166
2020-12-22,12914
2020-12-23,13780
2020-12-24,14813
2020-12-25,12150
2020-12-26,12675
2020-12-27,10187
2020-12-28,13063
2020-12-29,13609
2020-12-30,14259
2020-12-31,16344
2021-01-01,16906
2021-01-02,15759
2021-01-03,17255
2021-01-04,21209
2021-01-05,19007
2021-01-06,17102
2021-01-07,15704
2021-01-08,18062
2021-01-09,17459
2021-01-10,15830
2021-01-11,13023
2021-01-12,15505
2021-01-13,11656
2021-01-14,11597
2021-01-15,11354
2021-01-16,9449
2021-01-17,7972
2021-01-18,10752
2021-01-19,9818
2021-01-20,8498
2021-01-21,7280
2021-01-22,7773
2021-01-23,6382
2021-01-24,5386
2021-01-25,6935
2021-01-26,6196
2021-01-27,5704
2021-01-28,5659
2021-01-29,5251
2021-01-30,4306
2021-01-31,3710
2021-02-01,5204
2021-02-02,4515
2021-02-03,3864
2021-02-04,4074
2021-02-05,4139
2021-02-06,3334
2021-02-07,2947
2021-02-08,3894
2021-02-09,3380
2021-02-10,3576
2021-02-11,3507
2021-02-12,3465
2021-02-13,2970
2021-02-14,2742
2021-02-15,3875
2021-02-16,3673
2021-02-17,3464
2021-02-18,3995
2021-02-19,3839
2021-02-20,3187
2021-02-21,2512
2021-02-22,3631
2021-02-23,3709
2021-02-24,3344
2021-02-25,3458
2021-02-26,3497
2021-02-27,3149
2021-02-28,2960
2021-03-01,4003
2021-03-02,3759
2021-03-03,3811
2021-03-04,4221
2021-03-05,4673
2021-03-06,3888
2021-03-07,3379
2021-03-08,4691
2021-03-09,5230
2021-03-10,5075
2021-03-11,6781
2021-03-12,6301
2021-03-13,5634
2021-03-14,6056
2021-03-15,8414
2021-03-16,7683
2021-03-17,8347
2021-03-18,6876
2021-03-19,8110
2021-03-20,9296
2021-03-21,8212
2021-03-22,9982
2021-03-23,11149
2021-03-24,9932
2021-03-25,11262
2021-03-26,11885
2021-03-27,11502
2021-03-28,8705
2021-03-29,10740
2021-03-30,11072
2021-03-31,11588
2021-04-01,13812
2021-04-02,13741
2021-04-03,15233
2021-04-04,15837
2021-04-05,19089
2021-04-06,18078
2021-04-07,14385
2021-04-08,16998
2021-04-09,18451
2021-04-10,15599
2021-04-11,15501
2021-04-12,18698
2021-04-13,16202
2021-04-14,15302
2021-04-15,18433
2021-04-16,18342
2021-04-17,14622
2021-04-18,15129
2021-04-19,20014
2021-04-20,18970
2021-04-21,13979
2021-04-22,15403
2021-04-23,14477
2021-04-24,12163
2021-04-25,12144
2021-04-26,14629
2021-04-27,12032
2021-04-28,11052
2021-04-29,12842
2021-04-30,15159
2021-05-01,13146
2021-05-02,12070
2021-05-03,16007
2021-05-04,14405
2021-05-05,15301
2021-05-06,17097
2021-05-07,15861
2021-05-08,14222
2021-05-09,14725
2021-05-10,20810
2021-05-11,17821
2021-05-12,18251
2021-05-13,20015
2021-05-14,19117
2021-05-15,17837
2021-05-16,18402
2021-05-17,17880
2021-05-18,21705
2021-05-19,21254
2021-05-20,25025
2021-05-21,20994
2021-05-22,19210
2021-05-23,18389
2021-05-24,24268
2021-05-25,24239
2021-05-26,22100
2021-05-27,23204
2021-05-28,24562
2021-05-29,21491
2021-05-30,19342
2021-05-31,24382
2021-06-01,26486
2021-06-02,21353
2021-06-03,21487
2021-06-04,23593
2021-06-05,23353
2021-06-06,24131
2021-06-07,24954
2021-06-08,30109
2021-06-09,24645
2021-06-10,29401
2021-06-11,26676
2021-06-12,25326
2021-06-13,22023
2021-06-14,25751
2021-06-15,30647
2021-06-16,27218
2021-06-17,26392
2021-06-18,26211
2021-06-19,22596
2021-06-20,21471
2021-06-21,25093
2021-06-22,25138
2021-06-23,22628
2021-06-24,22717
2021-06-25,22166
2021-06-26,18320
2021-06-27,15589
2021-06-28,19735
2021-06-29,17405
2021-06-30,15221
2021-07-01,16335
2021-07-02,16206
2021-07-03,13563
2021-07-04,14971
2021-07-05,13792
2021-07-06,14764
2021-07-07,13484
2021-07-08,13346
2021-07-09,14118
2021-07-10,13665
2021-07-11,11084
2021-07-12,13013
2021-07-13,10923
2021-07-14,9624
2021-07-15,9889
2021-07-16,8265
2021-07-17,7774
2021-07-18,7341
2021-07-19,8780
2021-07-20,7682
2021-07-21,6510
2021-07-22,6894
2021-07-23,6306
2021-07-24,5833
2021-07-25,5592
2021-07-26,7144
2021-07-27,5806
2021-07-28,4875
2021-07-29,4826
2021-07-30,4667
2021-07-31,3893
2021-08-01,3568
2021-08-02,4026
2021-08-03,3537
2021-08-04,3022
2021-08-05,3483
2021-08-06,3313
2021-08-07,2670
2021-08-08,2623
2021-08-09,3039
2021-08-10,2533
2021-08-11,2041
2021-08-12,1821
2021-08-13,2091
2021-08-14,2025
2021-08-15,1847
2021-08-16,2017
2021-08-17,2099
2021-08-18,1907
2021-08-19,2237
2021-08-20,2199
2021-08-21,1672
2021-08-22,1529
2021-08-23,1786
2021-08-24,1681
2021-08-25,1535
2021-08-26,1671
2021-08-27,1593
2021-08-28,1313
2021-08-29,1115
2021-08-30,1369
2021-08-31,1275
2021-09-01,1436
2021-09-02,1451
